IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),国家代码
8.212.12.98,4,4,0.00,57.93,0.00,HK
47.57.233.126,4,4,0.00,59.63,0.00,HK
47.242.218.87,4,4,0.00,59.84,0.00,HK
8.212.65.162,4,4,0.00,59.86,0.00,HK
8.212.14.90,4,4,0.00,62.40,0.00,HK
47.57.245.232,4,4,0.00,63.14,0.00,HK
8.219.254.1,4,4,0.00,89.91,0.00,SG
8.219.255.49,4,4,0.00,92.39,0.00,SG
8.219.243.132,4,4,0.00,92.78,0.00,SG
8.219.63.79,4,4,0.00,92.97,0.00,SG
8.219.236.218,4,4,0.00,93.05,0.00,SG
8.219.245.214,4,4,0.00,93.06,0.00,SG
8.219.228.81,4,4,0.00,94.91,0.00,SG
144.24.95.220,4,4,0.00,99.84,0.00,KR
158.180.75.201,4,4,0.00,104.13,0.00,KR
146.56.96.206,4,4,0.00,108.00,0.00,KR
8.220.134.136,4,4,0.00,108.50,0.00,PH
155.248.248.205,4,4,0.00,149.53,0.00,IN
141.148.203.6,4,4,0.00,152.27,0.00,IN
141.144.197.136,4,4,0.00,169.94,0.00,NL
152.67.125.161,4,4,0.00,179.90,0.00,AU
192.9.180.162,4,4,0.00,181.11,0.00,AU
150.230.204.132,4,4,0.00,182.00,0.00,JP
141.147.160.166,4,4,0.00,182.85,0.00,JP
155.248.170.249,4,4,0.00,182.94,0.00,JP
141.147.185.208,4,4,0.00,184.72,0.00,JP
150.230.194.74,4,4,0.00,185.02,0.00,JP
155.248.178.95,4,4,0.00,185.17,0.00,JP
155.248.169.118,4,4,0.00,190.58,0.00,JP
141.144.198.93,4,4,0.00,193.42,0.00,NL
155.248.182.161,4,4,0.00,194.95,0.00,JP
141.147.147.28,4,4,0.00,196.57,0.00,JP
141.144.201.12,4,4,0.00,197.09,0.00,NL
141.144.198.121,4,4,0.00,199.12,0.00,NL
47.251.95.178,4,4,0.00,205.57,0.00,US
129.153.203.62,4,4,0.00,210.69,0.00,US
141.144.196.32,4,4,0.00,211.50,0.00,NL
140.238.31.168,4,4,0.00,211.63,0.00,KR
143.47.189.30,4,4,0.00,213.90,0.00,NL
144.21.42.2,4,4,0.00,214.45,0.00,NL
131.186.27.112,4,4,0.00,214.69,0.00,KR
152.70.253.44,4,4,0.00,216.11,0.00,KR
129.154.194.191,4,4,0.00,216.48,0.00,KR
141.147.47.32,4,4,0.00,223.83,0.00,DE
138.2.81.71,4,4,0.00,223.91,0.00,SG
141.148.245.210,4,4,0.00,224.20,0.00,NL
152.67.140.249,4,4,0.00,225.10,0.00,GB
8.222.139.227,4,4,0.00,225.18,0.00,SG
8.222.129.215,4,4,0.00,226.66,0.00,SG
8.222.169.19,4,4,0.00,226.71,0.00,SG
8.222.165.104,4,4,0.00,227.75,0.00,SG
152.70.59.138,4,4,0.00,227.85,0.00,NL
141.145.205.115,4,4,0.00,228.13,0.00,FR
8.222.255.80,4,4,0.00,230.16,0.00,SG
8.222.213.251,4,4,0.00,231.20,0.00,SG
8.222.219.140,4,4,0.00,232.21,0.00,SG
47.74.155.26,4,4,0.00,232.44,0.00,SG
8.222.223.112,4,4,0.00,232.88,0.00,SG
152.67.151.176,4,4,0.00,233.56,0.00,GB
141.148.235.197,4,4,0.00,234.03,0.00,NL
141.148.230.89,4,4,0.00,237.45,0.00,NL
130.162.34.176,4,4,0.00,241.08,0.00,DE
168.138.165.174,4,4,0.00,244.54,0.00,SG
130.162.209.188,4,4,0.00,245.60,0.00,DE
129.151.198.3,4,4,0.00,248.05,0.00,SE
152.67.142.42,4,4,0.00,249.21,0.00,GB
141.147.71.187,4,4,0.00,252.86,0.00,GB
152.69.209.132,4,4,0.00,255.88,0.00,SG
143.47.183.52,4,4,0.00,256.63,0.00,NL
150.230.121.114,4,4,0.00,258.78,0.00,GB
152.70.51.3,4,4,0.00,260.83,0.00,NL
47.253.171.149,4,4,0.00,265.78,0.00,US
150.136.87.192,4,4,0.00,267.08,0.00,US
130.162.174.117,4,4,0.00,273.00,0.00,GB
130.61.124.127,4,4,0.00,274.33,0.00,DE
141.147.71.121,4,4,0.00,277.33,0.00,GB
130.162.165.64,4,4,0.00,277.42,0.00,GB
150.230.123.106,4,4,0.00,279.35,0.00,GB
144.21.59.145,4,4,0.00,279.42,0.00,GB
193.122.58.158,4,4,0.00,286.61,0.00,DE
144.24.174.149,4,4,0.00,290.59,0.00,DE
150.230.118.203,4,4,0.00,298.94,0.00,GB
141.147.85.167,4,4,0.00,319.97,0.00,GB
132.226.163.224,4,4,0.00,388.30,0.00,BR
144.22.252.124,4,4,0.00,388.39,0.00,BR
8.219.97.248,4,3,0.25,94.78,0.00,SG
146.56.110.3,4,3,0.25,98.21,0.00,KR
152.67.190.105,4,3,0.25,142.43,0.00,IN
152.67.99.162,4,3,0.25,179.74,0.00,AU
193.123.35.178,4,3,0.25,195.59,0.00,NL
150.230.63.93,4,3,0.25,197.05,0.00,JP
132.145.94.80,4,3,0.25,211.32,0.00,KR
129.154.202.229,4,3,0.25,212.65,0.00,KR
152.70.240.162,4,3,0.25,213.98,0.00,KR
152.70.93.246,4,3,0.25,214.30,0.00,KR
132.226.16.97,4,3,0.25,216.18,0.00,KR
193.123.254.142,4,3,0.25,216.52,0.00,KR
47.254.86.133,4,3,0.25,218.55,0.00,US
132.226.234.102,4,3,0.25,218.75,0.00,KR
129.150.53.218,4,3,0.25,225.26,0.00,SG
143.47.247.120,4,3,0.25,237.86,0.00,GB
132.145.245.100,4,3,0.25,283.11,0.00,DE
146.56.172.166,4,2,0.50,210.20,0.00,KR
